2024-08-05 15:27:55,918 | INFO | tts.py | 45 | <module> | =================== tts korean models ===================
2024-08-05 15:27:55,918 | INFO | tts.py | 47 | <module> | init model device: cuda:0
2024-08-05 15:28:04,746 | INFO | tts.py | 45 | <module> | =================== tts korean models ===================
2024-08-05 15:28:04,747 | INFO | tts.py | 47 | <module> | init model device: cuda:0
2024-08-05 15:30:15,410 | INFO | tts.py | 45 | <module> | =================== tts korean models ===================
2024-08-05 15:30:15,410 | INFO | tts.py | 47 | <module> | init model device: cuda:0
2024-08-05 15:30:35,243 | INFO | tts.py | 45 | <module> | =================== tts korean models ===================
2024-08-05 15:30:35,244 | INFO | tts.py | 47 | <module> | init model device: cuda:0
2024-08-05 15:31:19,118 | INFO | tts.py | 45 | <module> | =================== tts korean models ===================
2024-08-05 15:31:19,118 | INFO | tts.py | 47 | <module> | init model device: cuda:0
2024-08-05 15:34:59,825 | INFO | tts.py | 45 | <module> | =================== tts korean models ===================
2024-08-05 15:34:59,825 | INFO | tts.py | 47 | <module> | init model device: cuda:0
2024-08-05 15:35:53,938 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:43,929 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:47,436 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:47,988 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:48,172 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:48,376 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:48,736 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:49,142 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:49,331 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:49,560 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:49,771 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:50,246 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:50,446 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:51,028 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:51,244 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:51,483 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:52,025 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:52,254 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:53,863 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:54,073 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:54,301 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:49:54,517 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 15:58:12,027 | INFO | voice_info.py | 30 | voice | /voice
2024-08-05 16:02:23,504 | INFO | tts.py | 48 | <module> | =================== tts korean models ===================
2024-08-05 16:02:23,504 | INFO | tts.py | 50 | <module> | init model device: cuda:0
2024-08-05 16:07:05,850 | INFO | tts.py | 49 | <module> | =================== tts korean models ===================
2024-08-05 16:07:05,850 | INFO | tts.py | 51 | <module> | init model device: cuda:0
2024-08-05 16:07:26,364 | INFO | tts.py | 123 | generate | /text-to-speech
2024-08-05 16:07:26,365 | DEBUG | tts.py | 132 | generate | model id: 6c8d49f3-50b4-4025-bf5b-16e813a2686d
2024-08-05 16:07:26,365 | DEBUG | tts.py | 133 | generate | voice id: b540ea02-6c7a-478e-9e60-5d766118f84a
2024-08-05 16:07:26,365 | DEBUG | tts.py | 134 | generate | text: 안녕하세요
2024-08-05 16:07:26,365 | DEBUG | tts.py | 135 | generate | language code: kr
2024-08-05 16:07:26,365 | DEBUG | tts.py | 143 | generate | using device: cuda:0
2024-08-05 16:07:33,423 | INFO | tts.py | 149 | generate | /text-to-speech complete
2024-08-05 16:08:29,467 | INFO | tts.py | 123 | generate | /text-to-speech
2024-08-05 16:08:29,467 | DEBUG | tts.py | 132 | generate | model id: 6c8d49f3-50b4-4025-bf5b-16e813a2686d
2024-08-05 16:08:29,467 | DEBUG | tts.py | 133 | generate | voice id: b540ea02-6c7a-478e-9e60-5d766118f84a
2024-08-05 16:08:29,467 | DEBUG | tts.py | 134 | generate | text: 하지만 은솔이는 자기를 따라하는 자경이 때문에 약이 올랐습니다.
2024-08-05 16:08:29,467 | DEBUG | tts.py | 135 | generate | language code: kr
2024-08-05 16:08:29,467 | DEBUG | tts.py | 143 | generate | using device: cuda:0
2024-08-05 16:08:29,886 | INFO | tts.py | 149 | generate | /text-to-speech complete
2024-08-05 16:09:17,269 | INFO | tts.py | 123 | generate | /text-to-speech
2024-08-05 16:09:17,269 | DEBUG | tts.py | 132 | generate | model id: 6c8d49f3-50b4-4025-bf5b-16e813a2686d
2024-08-05 16:09:17,269 | DEBUG | tts.py | 133 | generate | voice id: b540ea02-6c7a-478e-9e60-5d766118f84a
2024-08-05 16:09:17,269 | DEBUG | tts.py | 134 | generate | text: 나 화났으니 말걸지마 하는 눈치가 온몸에서 느껴졌지요.
2024-08-05 16:09:17,269 | DEBUG | tts.py | 135 | generate | language code: kr
2024-08-05 16:09:17,269 | DEBUG | tts.py | 143 | generate | using device: cuda:0
2024-08-05 16:09:17,612 | INFO | tts.py | 149 | generate | /text-to-speech complete
2024-08-05 16:25:04,528 | INFO | config.py | 40 | <module> | =============== provided voices ============
